observed,location_details,county,state,season,latitude,longitude,date,number,classification,temperature_high,temperature_mid,temperature_low,moon_phase,summary
"Me and my dad went to Kendall Lake in the Cuyahoga Valley National Park on May 24, 2015 around 1:00AM. We were doing calls and we heard this very long whoop. Sounded like a scream! It was the most scariest sound I have ever heard. It was weird because the call I got back sounded a lot like Matt Moneymaker's recording he got back in the 90's in Ohio. We went back June 6th around the same time and we heard the same whoop back! It was scary even though we heard it before.",,Summit County,Ohio,Spring,41.21424,-81.5168,5/24/15,48900,Class B,81.48,72.8,64.12,0.22,Partly cloudy starting in the afternoon.
In 2019 Richfield Ohio large dark figure crossed road.,"Near Buddhist temple, rt 303 Richfield Ohio [Investigator (MM) Notes: Here are the GPS coordinates for the crossing point. The figure was crossing Route 303 from south to north. Paste these coordinates into Google Maps, or paste the link into a web browser. 41.2392457, -81.6229513 https://goo.gl/maps/FicvVoP9kQLokNGcA",Summit County,Ohio,Spring,41.23925,-81.62295,5/28/19,71997,Class A,82.64,71.38,60.12,0.82,Heavy rain in the afternoon and evening.
"I was on the Little Miami Bike Trail heading back to Morrow from Oregonia...mile marker 23.5. It was Sunday, April 12, around 5:00 in the afternoon. Since the Covid restrictions were enacted a week or two prior, the trail had became so crowded every day of the week. However a cold front came in and it was a cool, cloudy day and very few people on the trail...maybe 15 to 20 riders encountered from Oregonia to Kings Mill...well, maybe more, but not bad. I'm retired and ride this route nearly day, weather permitting. So, after passing under the former Jeremiah Morrow Bridge (I-71 over Little Miami river) there's a long gentle arc in the trail. I haven't seen a soul since I turned around at Wilmington Rd. I'm cruising, it's nice and quiet, when suddenly I heard a loud knock...so distinct I instantly said in my head...that was a knock! It came from atop the hill to the east. I pondered all the conditions, i.e; kids playing..not!, cold, remote, and they don't play in woods anymore,..adult messing...maybe, but how would they know I was there?... natural, very doubtful, I'm nearly 68 and never heard anything so crisp, clearly, like a Louisville slugger full speed against a barkless solid ash tree (I imagined). There...that's what happened. I look online to see if any Bigfoot sightings had been reported in this area and found none. I stored the incident away until last weekend when I was talking to my son. He's 46 in May, I raised him near Morrow (abutting the former Frisch's Farm on the 3-C highway). Our school district includes the Maineville area. One of his good friends lived on a hillside, at a 90 degree curve on Sibcy Rd. His friend, Chris Flick's older brother told Nick, 20 years ago, he and his dad both saw a Bigfoot walking through the woods on the opposing (their house) hillside...two different times. Nick said he never related this until he told me...because of my knock story. He said he'll never forget it...and because of his story, I tell you my story...There! Thanks for reading, and hopefully you consider. Dan","just east of the bike trail, which was the rail line, which was the trail used by the Shawnee heading to Yellow Springs (which was their main camp, I think the home of Tecumseh). Anyhow, the trail the same.",Warren County,Ohio,Spring,39.42606,-84.10463,4/12/20,65393,Class B,64.65,59.18,53.71,0.69,Rain in the evening and overnight.
[see investigator comments],"Hamlin Trail in Allegany State Park, cabin next to cliff",Cattaraugus County,New York,Summer,42.06832,-78.7492,7/23/13,63279,Class A,79.57,68.08,56.59,0.55,"Rain until morning, starting again in the evening."
"It was on October 28th, a Saturday afternoon about 4:30pm. It was a clear sunny day when my wife and I were on our way down south driving on state route 19 South near Fremont, Ohio. As we came around a corner to a long straight away, we saw a tall brownish hairy creature walking from a field going east to west crossing the road. As I pointed it out to my wife we were probably about a quarter mile from it. As we watched while approaching it, its arms were long and swaying as it walked across the road in long strides. We watched it non-stop as we got closer to where it had just crossed the road. When we got to where it crossed the road, there was a guard rail and beyond the guard rail was a drastic slope into a heavily wooded area. We stopped and looked around but did not see anything around. It was hard to believe what we had seen, we were totally in awe and just could not explain nothing else to what it was except a BIGFOOT!",About three miles south on St Rt 19 from St Rt 20,Sandusky County,Ohio,Fall,41.29247,-83.05098,10/28/17,58458,Class A,41.51,40.045,38.58,0.28,Rain in the morning.
"I have never told this story to anyone besides my immediate family members because I tend to doubt myself. I believe there could be such things as Bigfoot, although I am not sure. I even went on an amateur investigation with my family last year in Salt Fork--we never saw anything but heard what we think were some other explorers whooping like us. I have hesitated to say anything because I don't want people to think I am making it up since I have been very vocal about my fascination with the subject to my students and friends. But seeing that someone else thinks they saw a Bigfoot near Meander Reservoir makes me want to tell my story too. Anyway, I am originally from the Youngstown area, although I live in Cleveland now. My husband, daughter, and I often travel to Youngstown to visit family in that area. On a drive home last year (it was in late March--the last time we went home before my father died) I swear I saw a huge figure standing flush with the treeline overlooking Meander. I was in the passenger seat so I got a decent look. We were driving over the bridge heading toward the turnpike to go back to Cleveland. The figure was huge--very tall and hairy. It was standing up and holding onto a tree looking out over the water. The location was among the trees along the bank closest to the bridge, if that makes sense. I'm not good at distances, but I was close enough that I could see it wasn't a person just from the massiveness of it. I have seen a lot of bears, and although some have been making their way into Ohio lately, it definitely wasn't a bear. I was in disbelief--I have always wanted to see a Bigfoot but I was speechless at the time it was actually occurring. I did say to my family ""I think I just saw a Bigfoot!"" but they didn't believe me. I talk about it once in a while, but since it happened so fast, and mostly since I had no clue it was possible for them to be in this area, I have convinced myself that I must have been mistaken. Now I don't think I was.","I-80 bridge over Meander Reservoir--heading West toward the turnpike. The sighting was on the West bank of the reservoir, right at the tree line, close to the open area beside the bridge. I think there is also a linked fence near there.",Mahoning County,Ohio,Spring,41.11447,-80.14099,3/24/12,40715,Class B,65.18,59.075,52.97,0.07,Rain in the morning.
"I I was going coyote hunting in North Lima on my in-laws property. I was grabbing my gear out of my trunk and through the treeline I could see about 5 turkeys in a field. About 50 or so feet to the left of them was what appeared to be an albino something, and it must have been sitting or lying down at time. By the time I was ready to get in woods the turkeys and that thing were out of sight. Upon entering the woods, almost immediately about 60 yds in front of me was this white fuzzy thing standing on 2 legs looking directly at me. We gazed at each other a minute at least and I began approaching. It wasn't intimidating. In fact was only at most 4ft. tall. It began backing as I approached and then soon fled. Couldn't wrap my head around what the hell I just saw. Tried to shake it off and kept walking. Within no time it just appeared again. About 60 yds. I tried looking at it better through scope but my hands kept shaking and didn't feel right putting a rifle up at something I didn't understand. I would get within 40 yds or so. It would back up. Then flee. Then popped out a third time. Got weird feeling of cat and mouse. Animals don't act like this. It was playing with me. I felt I was being lured into something. With creature still in sight I turned and went home.",Fall woods and farm. Small creek temps in 40-50,Mahoning County,Ohio,Fall,40.94825,-80.69776,11/12/13,58702,Class A,34.32,30.095,25.87,0.34,Foggy in the morning.
"Through the years I have had several sightings and interactions with what appears to be a bigfoot and family. We own the better part of mystic woods in Columbiana OH. When the gas and oil companies started installing pipelines years back we started having encounters. I’m an engineer by trade and my wife is a banker. Tonight yet another sighting by our pond.  My wife and I were at dinner and as we arrived home about 8:30 PM a very large fast gray/ silver lite brown (covered in fur/hair) bigfoot darted from bushes in our front into the cat tails in our pond on all fours. We both looked at each other and said did you just see that?!!  The subject was down low and bent in the middle as it moved. Unlike a dog, it’s undulating movement was not as fluid as a dog. It was not a bear. It appeared to be from 4-5 feet at the back and torso built like a barrel. When it went into the cattails we were no longer able to see it.","[Investigator Note: Address: 14199 Columbiana-Canfield Road, Columbiana, Ohio Coordinates: 40.911992, -80.709115 For Google Map pin to the location",Mahoning County,Ohio,Summer,40.91197,-80.70913,7/17/21,69469,Class B,76.27,67.785,59.3,0.27,Heavy rain in the morning and afternoon.
"The whole thing was sparked because I had found an unusual barefoot track while out fishing with a friend. While fishing at night we have heard some very strange sounds. We went out hoping to hear something or find another track. We were sitting by the lake originally with nothing happening. After it being cool and a bit rainy, we decided to leave the area. We were going up the road when XXX made the suggestion to pull over by the archery field to see if we could see any deer on the way out. When we pulled over to the field we caught a glimpse of eyes. We stepped out of our vehicle using a large mag-light and we glassed the area where we saw the eyes and caught the eyes moving over the grass line. The thing that made me think this was strange was the distance between the eyes. They were about a foot apart and shined green when the light hit them. Then, it moved left to right and appeared to be just above the grass line which was roughly about four foot high. When it moved to the right is when it got interesting... It stood up straight and looked toward us. The eyes where clearly another 4 foot above the grass line. It then turned to its left and walked across the field into the wood line. We were all stunned. We decided to leave the area kind of in a state of shock...as we were kind of freaked out. We pulled out and headed out towards the road when XXXXXX said we should go back and get a size comparison. He said we watched it leave so we should go back for a more accurate comparison. It needs to be stated at this time that I am an avid hunter and was a Nuisance animal control specialist with the ODNR for three years. What we had seen at that point was nothing that should have been in this area. Not a deer, not a coyote, not a bear...this was much larger. We turned the truck around and pulled back into the archery area and made a general plan. XXX would keep the truck running as I would walk to the edge of the field with the mag-light. XXXXXX wanted to walk across towards the tree line to where we saw it go into the woods so we would get a height comparison. The truck lights were on....as XXXXXX started across the field, I was trying to glass the edge of the field with the light showing him which way to go. About 30 yards in or so the eyes reappeared in the same location it entered into the woods...low to the ground just above the grass line. I hollered to XXXXXX that it was back and he needed to go to the right. Once he started moving to the right, he looked back at the truck and said he could not see the eyes. He was looking back into the truck lights off and on. This thing stood straight up and looked down at XXXXXX. He was probably just about 30 maybe at most 40 yards from this thing. Jeremy is 6 foot and this thing just dwarfed him in size. I hollered for him to freeze! XXXXXX turned and looked at us, and I told him to move back to us slowly. XXX and I were honestly rattled. XXX was asking me what it is..what is it??…. as I was trying to rationalize what we were seeing. I had to answer him with a, I don't know??? As XXXXXX was walking back towards us slowly....facing away from us...all I could think was if it wanted him, we could never had made it to him in time. It stared at him till he was more than half way back and once again turned left and went into the woods. XXXXXX never saw the eyes. He said he did hear something moving into the woods...but it was faint at that point. We are guessing that it was around 8 foot tall.","The location of the sighting was near Spencer, Ohio. I would prefer if the location was not disclosed. I do not want anyone trying to shoot at or accidentally get shot....looking for these creatures.",Medina County,Ohio,Spring,41.11417,-82.07824,4/13/13,42022,Class B,43.19,37.785,32.38,0.11,Mostly cloudy throughout the day.
"Hello, I am writing for my mother as she is not very good with a laptop. They live in Valley City, Ohio. She saw something last night that has really scared her and didn't know who she could ask about it. Here's a little background. Over the past couple months they have heard deep growls off and on but have never seen anything. They live in the country with a river and woods across the roads both in front and behind the house. They never go outside at night unless they can help it because it just doesn't seem right out, sort of like they are being watched. Then this morning about 3 AM my mom was in the kitchen making coffee and looked out the large window on the side of the house and saw yellow eyes looking in at her. As she had the light on in the kitchen, she couldn't see the full body, but the window was open and she smelled a musty skunk smell. This was the only window that the blinds were not closed. Needless to say the coffee never got made. It scared her really bad. She went to the living room and sat in the dark until it got light outside. Then when it got light she went outside and said it smelled like a herd of skunks had been around. The window is fairly high on the side of the house and I am about 5' 2"" and can barely look in the bottom of it. We estimate that where the eyes where on the window it had to be close to seven foot tall. She said her iris flowers and some other plants were smashed down under the window and all the corn for her squirrels was missing. She couldn't see any tracks because of the plants and the ground was dry.",Just off of State Route 252. I will give more information if you wish to contact us.,Medina County,Ohio,Summer,41.22248,-81.91616,6/25/13,41774,Class B,88.07,77.615,67.16,0.58,Heavy rain in the evening and overnight.
"Location, Nashport, Ohio, Near Dillon State Park. This is an account of events that transpired during mine and my friends 5 day hunting trip on a 40 acre tract in Nashport, Ohio, in Muskingum County. This land adjoins Dillon State Park, which is 2,285 acres of state ground. Both my friend and I are experienced woodsmen and hunters, in having been in nature our whole lives. We are confident in our knowledge of animals, their behavior, and calls. This compiling of events at times left us confused, awestruck and at a loss for words. We both went into the woods with the understanding that there are some things that cannot be explained or fully understood yet. However, we left our trip with a much greater understanding than we thought imaginable when planning this trip. 12/1/15 Tuesday Just after dusk. Light rain and no wind. We heard a large tree knocked over in the woods. There was no wind or outside influence that should have caused the tree to crash down. About 30-45 minutes later, we heard a second tree fall, which sounded larger. Around 8pm we began to hear tree knocks coming from 3 different locations simultaneously. The first 2 sounded like someone hitting 2x4’s together. The 3rd on the other hand was much louder. It sounded like someone hit the tree with a very large Louisville Slugger. Around 10pm, we heard what sounded like someone walking through the woods whistling. It was a human-like whistle, but we were the only people around. At about 3am, my friend stepped out of the camper to use the bathroom. Upon walking outside, he heard another loud tree knock from the 3rd location as before. 12/2/15 Wednesday We hunted all day and returned to camp. After dark, the tree knocks began. This time it was only 2 locations. Around 10 to 10:30pm we began to hear whooping sounds coming off of a ridge about a ¼ of a mile away. Still inside the camper, the sounds were so loud we could feel them. The whoops lasted 15-20 seconds without pause. Within 5 minutes we heard the call again, but this time the duration of the call was shorter. We stepped outside of the camper to get a better sound quality and then heard a 3rd set of whoops, this time so loud the calls could be felt in your chest. When these calls were finally finished the woods and entire area around us went quiet. Not a sound. Just as the night before we continued to hear wood knocks. Also noted we could hear something banging/ beating on cars in the junkyard below our camp site. At times it was so loud whatever this was seemed to be upset and trying to rip off a car door. The junkyard is inaccessible at night.  Just as the night before my friend awoke around 3am to use the bathroom and upon stepping out of the camper was confronted with a very loud knock from the same area as the night before. 12/3/15 Thursday The evening was quiet until about 9-9:30pm. Out of the blue, we heard a very long, very deep, aggressive almost tarzan like yell coming from the same ridge as the whoops the night before. This brought a chill down our spines it was so loud. It was long and powerful and lasted a solid 20 seconds. Trees knocks continued from the same areas as previous nights almost like we were being observed all evening. They were lesser in frequency on this evening however. About an hour later we began to hear coyotes yipping near the same ridge as all the calls have been coming from. There was an answer to the coyotes, which was similar but definitely not a coyote. The tone and pitch were different and it was much louder. It was very bone chilling to say the least. Shortly after this we could hear growling sounding like it was coming from just outside the camper. We loaded our guns and prepared for an encounter with whatever was out there. We stepped out with a bright flashlight but we could not spot anything. The tree knocks continued until we went to bed. 12/4/15 Friday Sitting around the fire around 9pm, we heard another tarzan yell, this time it was on a further ridge. Guessing around a ½ to ¾ of a mile away. It was long and as loud of a call as the evening before, just further off in the distance. It was quiet again until about 9:45. From the lake and waterway about a ¼ to ½ mile away, we heard a blood curdling high pitched scream. Also by the water way is a long set of rail road tracks that I wanted to note of here. From this point on we heard screams every 5 seconds. The screams progressively came closer and closer, moving down the creek bottom between the two large ridges. In no more than 30-60 seconds, the screaming had moved from the waterway again about a ¼ to ½ a mile away to what sounded like 100 to 150 yards away at the tree line. About 10 to 15 seconds later we heard what sounded like someone or something jumping on the hood of a car and over the 8ft tall (give or take) junkyard fence, clipping it as it went over. This was astonishing because in this 10 to 15 seconds of time this thing moved through 400 yards of heavy cover. I do not know of any person or animal that could do this that would also be responsible for these noises. A few minutes after all of this commotion, we heard the same blood curdling screams coming off the ridge behind us as all of the screams as the nights before. 12/5/15 Saturday We set up a two man deer drive for the morning down the same ridges and holler from where the screams the night before were moving through. Moving as quickly as possible, it still took me an hour to cover and navigate the same ground as the high pitched screaming the night before. We decided to check out the area around the waterway for tracks to try and confirm what we thought we had been hearing throughout the week. At one end of the spillway, the water had receded to depths of only about 4 inches. There were nearly 20 tracks coming from the main ravine and rail road tracks and into the shallow end of the spillway. They all enter at the same place but veer off in 3 different directions. The tracks appeared to be 14-16 inches in length, 3-4 inches at the heel and 6 to 8 inches at the toe. This creature appeared to have a stride of nearly or about 5ft toe to toe. My friend documented these as pictures on his cell phone. Upon further investigation we found more tracks 20-30 yards away in the sand on the bank. We took pictures of these as well. One set was slightly smaller but when up next to my 11 ½ size hunting boot it dwarfed my feet in comparison. We found another, larger track near these. This footprint was 16-18 inches long at least 4 inches at the heel and 8 inches or more at the toes. It was an older track but still stood out to us. We have a clear picture of this track up against my friends size 13 hunting boot and this track just swallowed it. These impressions sunk deeper than anything my friend or myself could recreate, and we are not small men at 210 and 185 lbs respectively. Investigating the bank line we could see multiple shellfish that had been eaten (potential secondary food source to all of the gut piles and wounded deer from gun season) There were no other animal tracks in the area that would have been known to be feeding on these aka raccoons. Also noted we noticed multiple footprints that looked to be from a child barefoot. These looked fresh. Why someone would let their child run around barefoot in December in cold water and mud is beyond me? Still not sure what to make of this. 12/6/15 Monday Upon returning home I spoke to my girlfriend about what had gone on during our hunting trip and finding the tracks and she was mind blown and interested. Since the tracks were on public land and deer gun season was over I know it would be safe to take her down to the water and show her the tracks and let her see the area. First I took her down to a sand bar to show her an angle I had at a nice deer on Wednesday. When we got down there she said wow bigfoot. When we looked down there was a fresh set of tracks in the 14-16 inch range very similar to the other ones noted already. They were so fresh you could see where the mud had squished up between its toes.  She took pictures on her phone with her feet next to them as reference. I then took her over to the sandy bank and showed her the tracks my friend and I had found to get a second set of pictures. Upon getting over there we found another type of track. It was roughly 14 inches in length but appeared to have severe hammer toe and or arthritis. It was roughly 4 inches at the heel and roughly 8 inches at the toes. We took pictures of this track as well. When exploring near the wood line I noticed how a very large creature had been moving through there. I found a large impression in the leaves. I began to remove them to get a better look at what was below. We found what appears to be very very large footprints. These were between 20 and 24 inches in length, well over 5 inches at the heel, and 10 to 12 inches at the toe. A picture was also taken of this impression. Upon seeing these the feeling of being watched began to overwhelm my girlfriend and we quietly left the area. At the end of this trip we left with some astounding experiences and a sense of shock. However, we both feel this is not a series of coincidences or random actions. Given our encounters and physical evidence which we were able to document, we strongly feel there is one explanation Bigfoot. Being experienced trackers, we feel these creatures are using the railroad tracks as a highway to come and go with minimal trace. Our interactions this week led two outdoorsmen who are very comfortable in uninhabited woods to sleep with loaded guns within arm’s reach. Each of us there will think twice before staying or wondering near or in nearly untouched woods at night alone. Although we did not get a visual, we fully believe this creature is large, athletic and completely in its element in the woods at dark.","Just south of State Rte 16 off of 146, North of Dillon State Park",Muskingum County,Ohio,Fall,40.01209,-82.13298,12/1/15,50393,Class B,58.61,49.165,39.72,0.7,Light rain in the afternoon.
"My husband and I have been hiking a local trail system in our area nearly every day since we got our dog in 2013. Over the years we have experienced several instances of wood knocking and did not think much of it in all honesty. More recently we have stumbled upon small trees (4-5 inches in diameter) that were twisted/broken in ways that a human could not achieve (in our opinion). All these instances combined over the years have not really made us feel unsettled or afraid, nor did we think it was anything too worthy of note; however, our most recent experience, which occurred over a period of a few days in September 2020, was unexplainable and I cannot go without reporting this any longer, as it has truly been bothering me since it occurred.  In September 2020, my husband and I were on an evening hike (approximately 4:30-5:00 pm) at the Stone Church Horse Trail System, which is a part of the Wayne National Forest in Shawnee, Ohio (Perry County) when heard what we can only describe as a “howling/roaring” sound. The noise occurred twice, and there was approximately a minute of silence between the two “howls/roars”. Sadly, I was unable to get my phone out quickly enough to record the instance, as it all happened so fast. My husband and I have never heard anything like it before. I was a bit unnerved by the sound and we quickly left the area and headed back home. We spent that night looking up the calls of animals native to Ohio, but none of the sounds we listened to even remotely resembled the sound that we heard that evening. A couple of days later, we went back out to the same trail system where we heard the noise. We stopped along the trail to allow our dog to get a drink of water. My husband was preoccupied with the dog, and I was just taking in the scenery. I happened to hear some rustling on the ridge above us, and when I turned to look, I saw what I can only describe as a very large, bipedal creature, walking between the trees and brush. The creature was far enough away that I could not make out its features specifically, but it was very large. It had dark colored fur/hair, dark brown or black in color. I cannot give an exact height measurement, but the creature appeared to be approximately 6 ft tall—This estimate is based upon our survey of the surrounding trees where the creature was sighted on the ridge. I called for my husband to look over at the creature, but it disappeared over the crest of the ridge into the forest before he was able to see. Additionally, more recently, specifically, February 13, 2021, at 4:57 pm, I unintentionally recorded a wood knock while recording video of my dog. This instance also occurred on the same trail where my husband and I heard the howling/roaring and I saw the bipedal creature in Sept. 2020. I do have that footage, and the wood knock can clearly be heard.","Directions to the General Stone Church Trail System Campground, as per the US Dept. of Agriculture’s website. To find this campground and trailhead west of Shawnee, OH: •	Take State Route 93 out of Shawnee. •	Turn left on County Road 38. •	The Horse Camp and main trailhead is on the right, the old primitive campground trail head is further on to the west. GPS Location (Site of encounter(s) on the trail): [39.632544, -82.264629] GPS Location (specific trailhead of Stone Church Trail System): N 39 37’ 49”, W 82 15’ 19” [Investigator Note:  For the Google Maps pin for the location where the witness was standing, click .]",Perry County,Ohio,Fall,39.63255,-82.26463,2/15/20,67875,Class A,40.31,36.25,32.19,0.75,Partly cloudy throughout the day.
10 of us rented a cabin in the woods Thursday Oct 29th thru Sunday Nov 1st. It was located in Logan Ohio part of Hocking Hills area. Everything was normal till Friday. We all started smelling a nasty smell couldn't figure out where it was coming from. Didn't smell it in the cabin just outside. Late Friday night after midnight 2 people were on the deck and everyone else went to bed. They started hearing loud noises like branches breaking and felt like they were being watched. Sometimes it sounded like something was being thrown they thought it was one of us pranking them. Then came a loud bang near them so they ran in the cabin from the upper deck. The one guy came into my room and told me what was going on. So me and another girl went down to the kitchen area and we all started looking out the windows. I turned all the lights out. Within minutes the one girl yelled there it is. I went to the kitchen window and in the field right in front of me there stood a large black figure walking on two feet towards the cabin. We all started yelling what is that. It then all of a sudden turned and went back into the woods it came out of like it heard us. We then got everyone up we all went out on the deck and heard weird howling sounds that none of us have heard before. And loud noises like branches breaking. Then we heard the loud sounds in front of the cabin to the left. We all moved to the front and heard walking and branches breaking and seeing something moving around. That is where a footprint was found.,"It was in Hocking Hills area in Logan Ohio. We rented a cabin in the woods. [Cabin address: 9001 State Route 312, Logan, Ohio] [Long / Latitude: 39.596072, -82.352913]",Perry County,Ohio,Fall,39.59607,-82.35291,10/31/20,67239,Class A,55.94,49.145,42.35,0.51,Clear throughout the day.
"On a summer day in 2013 or 2014, my dog (a miniature Italian Greyhound) and I were driving on back roads. I parked my car and was going to walk to the top of the hill. My dog, which travels with me, wouldn’t get out of the car which was very odd. I walked to the top of the hill and was looking down the gravel road ahead. At first I didn’t notice the creature. I started to turn when I caught movement out of the corner of my eye. When I turned my eyes back on the subject, I noticed it turning. It took a few steps and disappeared into the treeline. I saw the creature from the side. It was being about 7-foot-tall. It had gray hair. The body was very thick and its arms hung to about its knees. I couldn't see from his knees down. I didn’t notice any odor.","I was at the top of Buckhollow Rd. at the intersection of a unnamed logging road just to the south of Swift Creek Rd., approximately 25 to 35 feet higher looking south down Buckhollow Rd. [Investigator (MM) Notes: Location Coordinates: 39.089496, -82.834201 Click here for Google Maps link: ]",Pike County,Ohio,Summer,39.0895,-82.8342,6/1/13,59396,Class A,83.52,73.175,62.83,0.79,Heavy rain in the evening and overnight.
"Driving  east on SR 32 in Pike County Ohio noticed a dark figure on the white center line of a four lane highway. It took approx. 4 steps and was off the shoulder, I initially thought it was a person crossing the road at an intersection I proceeded to the point where it crossed the road but no intersection. I mentioned it to my wife and although she did not see it we got to the point where it crossed and no person or animal in sight. There was a light dusting of snow at the time we did not stop to look for for prints as we were in a hurry being it was Christmas Eve.",,Pike County,Ohio,Winter,39.05922,-83.07492,12/24/13,43407,Class B,22.91,18.8,14.69,0.72,Heavy snow (2–4 in.) in the morning.
Going fishing last year at Mogadore Reservoir off Ranfield rd. Late night around 1am in the morning we had caught a couple of catfish. A 7lb and a 15lb. My truck was parked roughly 20ft behind us. Throughout the night I heard tree knocks and calls not common to the area. When we heard a few getting closer we decided to leave. When i went to the back of the truck where we kept our gear and the fish the 7lb catfish was gone. We looked around the truck and area to see if it had hopped out and saw nothing. While searching my partner was hit on the chest with a small rock leaving a half dollar sized mark. We packed up and left fast since we felt very scared at that point. I came back to the location a a couple of times since then and noticed trails and branches that were twisted and snapped that couldnt be done by normal means. I have encountered things in southern and mid ohio previously and all i could determine was this was a close encounter.,Mogadore Lake/Reservoir 30 ft to the right of the launching ramp.,Portage County,Ohio,Summer,41.06194,-81.36305,8/17/11,31246,Class B,82.37,71.79,61.21,0.62,Foggy in the morning.
I was hunting in southwest Ohio not thinking I would encouter a big foot its 700 acres of public hunting hardwoods with pine trees in the middle. I was in a hunting chair back in some thicket I went in the woods about 5:30 about 8:00 I fell asleep in the chair around 8:45 heard some noise I thought was a deer I waited for a minute didn't here anything so I stood up and something started knocking over trees screaming running away at first I thought I scared a deer but deer will take an open trail or thicket to get away this was knocking over 3 inch trees and growling. I tried to follow the noise but it was gone in seconds so I headed back to my truck on my way back a buddy I was hunting with said he found a very big foot print it was in a foot of grass but one print pushed the grass down to the mud and you can see the print he was tracking a deer and found the print.,1/4 mile north on 127 from 725 left on Summer Rd.,Preble County,Ohio,Fall,39.65361,-84.66399,11/15/12,40315,Class B,45.16,35.97,26.78,0.07,Foggy overnight.
"We went down to the creek (Twin Creek in Preble county) to fish and saw a big footprint in a sandbar that was way too big to be human. We took a picture next to my husband's foot which is a size 13. This was found right where the creek starts to turn to the left on a rocky sandbar that depending on the water level is either exposed or under water. The single track was 15"" long x 7"" wide x 5"" at the heel.","As you go down Gratis-Enterprise Road from Gratis heading east you cross the bridge over Twin Creek. There's a pull off on the right where you can park. From there, you can walk down to creek.",Preble County,Ohio,Spring,39.65625,-84.51192,6/7/14,45280,Class B,81.91,73.79,65.67,0.31,Mostly cloudy overnight.
"Was driving to my fiancé's house with her in the car at around 6:30 PM. We were heading east bound on 36 when we both witnessed in our headlights a shadowy figure sprint across the road from north to south. When I say sprint, I mean like a 100m dash sprinter or faster. It was about 30 yards or so in front of our car with another car coming from the other direction. It was probably 20 yards from the other car. I asked her, ""Did you see that?"" I told her that I saw a figure run across the road and I could see its legs. She responded that she did see a shadowy figure run across the road too, but was not able to notice any more than that. It all happened so fast. I use to watch the Finding Bigfoot show a lot, so we spent the rest of the car ride asking questions, explaining observations and possibilities. The location as described below was from a lot of parked cars surrounded by trees on the north side of the road to the south side of the road along the west side of the old farm house heading towards the big fields in the back. From my perspective I was able to see the figure because of the on-coming cars headlights. It was a black shadowy human like figure. I could see 2 humanoid legs for certain and it definitely wasn't a deer or anything on all fours. It seemed to be rather tall, but I didn't see any more than legs and body. If the car coming my way had been a truck I might have seen more. I believe it made it across the road in 3 steps judging by what the first 2 steps looked like. It seemed like it was sprinting very fast. Because it was dark out and we were driving 55 MPH, in the snap of a finger it was gone. We did not stop and investigate. Upon driving through area the next day, I noticed a 5-6 foot ditch on the south side of the road and figured out that's why it had to be sprinting so fast so it could jump over the embankment.","Address on the nearby mailbox is XXXXX, State Route 36, Knox County Ohio.",Knox County,Ohio,Winter,40.36462,-82.24197,1/5/18,58853,Class B,11.27,3.37,-4.53,0.63,Foggy starting in the afternoon.
I was driving my step son to his soccer game on the weekend and I was already running late. We were driving over the bridge of the little Miami river and I saw this dark figure standing in the middle of the river. At first I thought it was a fly fisherman. I looked at the road then back at the river it was still there. I realized as I looked at it was too large to be a fisherman.  It had to have stood 8 to 9 feet tall.  It seemed to be facing away from me I didn't see face but I could see a head and arms but it really wasn't moving. It was brownish black. The river was low. I drove back to see if maybe it was a branch oddly positioned but when I went back it was gone.,It was in the little Miami river which borders Clermont and Hamilton County.  It was the bridge through old loveland by us 48. I believe the main road is main street.,Hamilton County,Ohio,Fall,39.26903,-84.25986,10/12/13,57013,Class B,77.81,66.395,54.98,0.28,Foggy overnight.
"It was a nice day out, so i decided to walk my dog. I took him on the bike path for a small walk. We went past a turn and then my dog started to bark. I looked in that direction and noticed a big, bulky, hairy creature. I stood and watched for about 5 seconds and it just walked across to the other side into the brush. I couldn't tape it because I didn't have my I-pod with me. So we ran home, I got my I-pod and went back, this time with my other dog. I walked down to where the creature was and noticed a footprint. I took one picture of it on my I-pod.",The newer bike path beside the graveyard.,Greene County,Ohio,Winter,39.6543,-83.7278,3/16/13,40619,Class B,53.45,42.575,31.7,0.16,"Foggy starting in the afternoon, continuing until evening."
"Back in 2010 I and a friend were at Salt Fork Lake fishing at about 9:30 p.m. That evening we heard some banging of trees and the next thing we know rocks as big as my fist were bouncing off the ground. After 6 or 7 of them we grabbed our stuff and left. We never saw what it was but the rocks were being thrown from a great distance. I'm 6' 3"" and 260 lbs, and there is no way I could of thrown these rocks any distance.",Salt Fork Marina,Guernsey County,Ohio,Summer,40.11682,-81.4936,7/18/10,31439,Class B,87.32,78.025,68.73,0.26,Rain starting in the evening.
